dataset_file,sheet,ticker,predicted_tier,overall_score,status,error
CoCo_examples.xlsx,Guangli,NasdaqCM:VUZI,Weak,38,ok,
CoCo_examples.xlsx,Guangli,TPEX:4980,Weak,0,ok,
CoCo_examples.xlsx,Guangli,OM:XMR,Weak,0,ok,
CoCo_examples.xlsx,Guangli,NYSE:GRMN,Weak,25,ok,
CoCo_examples.xlsx,Guangli,CNSX:ARWY,Weak,0,ok,
CoCo_examples.xlsx,Guangli,NasdaqCM:WLDS,Weak,0,ok,
CoCo_examples.xlsx,YBR,SZSE:002154,Weak,37,ok,
CoCo_examples.xlsx,YBR,SZSE:002029,Weak,34,ok,
CoCo_examples.xlsx,YBR,SZSE:002485,Weak,0,ok,
CoCo_examples.xlsx,YBR,SEHK:1234,Weak,20,ok,
CoCo_examples.xlsx,YBR,BSE:532808,Weak,0,ok,
CoCo_examples.xlsx,YBR,TWSE:1473,Weak,0,ok,
CoCo_examples.xlsx,YBR,TSE:3205,Weak,20,ok,
CoCo_examples.xlsx,YBR,SZSE:002269,Weak,0,ok,
CoCo_examples.xlsx,YBR,KOSE:A005320,Weak,0,ok,
CoCo_examples.xlsx,YBR,SEHK:844,Weak,0,ok,
CoCo_examples.xlsx,YBR,SEHK:2020,Weak,0,ok,
